STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,71224.0,0.84,254.51,NO TREND,INCREASING,50.63,-0.91,9.65,-5.54,STAY,BUY,BUY,0.25,STAY,False,False,STAY,0.46,-0.13,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",-200
21STCENMGM,21st Century Management Services Limited,43,10585.0,1.01,92.87,DECREASING,INCREASING,32.16,-1.53,2.35,-1.49,BUY,SELL,SELL,0.73,STRONG SELL,False,False,STAY,-0.15,0.78,0.0,,-100,['INVERTEDHAMMER'],100
360ONE,360 ONE WAM LIMITED,24236,300602.0,0.35,1183.85,INCREASING,INCREASING,61.11,-4.05,40.86,1.89,STAY,BUY,BUY,0.89,STRONG BUY,False,False,SELL,0.53,-1.18,0.0,,-100,,0
3IINFOLTD,3i Infotech Limited,667,2216296.0,1.2,32.69,INCREASING,DECREASING,71.66,-2.34,1.2,-1.91,SELL,BUY,BUY,0.95,STRONG BUY,False,True,SELL,0.8,0.58,0.0,,0,"['HIGHWAVE', 'SPINNINGTOP']",100
3MINDIA,3M India Limited,35139,2503.0,0.58,31600.0,DECREASING,INCREASING,36.1,1.69,878.19,3.49,BUY,SELL,STRONG BUY,0.51,STAY,False,False,STAY,-0.29,1.25,0.0,,-100,,0
3PLAND,3P Land Holdings Limited,48,392268.0,2.52,64.6,INCREASING,INCREASING,66.89,5.79,4.62,-2.22,STAY,BUY,BUY,0.78,STRONG BUY,False,False,STAY,0.66,5.38,0.79,['ENGULFING'],100,,0
5PAISA,5Paisa Capital Limited,1574,19914.0,0.54,494.0,NO TREND,INCREASING,43.4,-2.71,12.47,1.77,STAY,BUY,BUY,0.43,STAY,False,False,STAY,0.05,-0.2,0.0,,-100,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI']",100
63MOONS,63 moons technologies limited,1758,973553.0,0.96,852.9,INCREASING,INCREASING,72.73,-4.19,43.16,-2.6,SELL,BUY,BUY,0.95,STRONG BUY,False,False,STAY,0.49,1.99,0.0,,-100,,0
A2ZINFRA,A2Z Infra Engineering Limited,237,745346.0,0.49,21.14,NO TREND,INCREASING,65.99,3.72,1.2,-0.33,STAY,BUY,BUY,0.83,STRONG BUY,False,False,STAY,0.79,3.17,0.0,,0,,0
AAATECH,AAA Technologies Limited,105,13828.0,0.81,113.56,NO TREND,INCREASING,44.63,2.35,4.2,2.75,STAY,SELL,STRONG BUY,0.02,STAY,False,False,STAY,-0.17,0.5,0.0,,-100,['HARAMI'],100
