STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,5760.0,0.05,259.0,DECREASING,INCREASING,51.11,-1.82,7.95,0.92,STAY,BUY,BUY,0.5,STAY,False,False,SELL,0.16,-1.12,0.0,,0,,0
21STCENMGM,21st Century Management Services Limited,43,2596.0,0.19,101.7,DECREASING,INCREASING,47.73,4.18,2.61,-3.22,STAY,STRONG BUY,SELL,0.31,STRONG SELL,False,False,STAY,-0.2,3.78,0.0,,0,"['ENGULFING', 'MARUBOZU']",200
360ONE,360 ONE WAM LIMITED,24236,16887.0,0.04,1141.15,INCREASING,INCREASING,63.3,3.55,40.58,2.71,STAY,BUY,BUY,0.64,BUY,False,False,STAY,0.29,1.49,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,0
3IINFOLTD,3i Infotech Limited,667,90440.0,0.22,29.3,NO TREND,DECREASING,67.74,2.42,0.94,3.0,STAY,BUY,BUY,0.0,STAY,False,True,STAY,0.07,1.03,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,0
3MINDIA,3M India Limited,35139,161.0,0.02,31392.5,DECREASING,INCREASING,42.41,-0.0,855.84,4.99,STAY,SELL,SELL,0.85,BUY,False,False,STAY,-0.31,-0.92,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,-100
3PLAND,3P Land Holdings Limited,48,6868.0,0.07,60.79,INCREASING,INCREASING,66.55,-0.09,4.46,5.91,STAY,BUY,BUY,0.84,BUY,False,False,STAY,0.67,-1.12,0.0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",300,,0
5PAISA,5Paisa Capital Limited,1574,2502.0,0.09,508.35,NO TREND,INCREASING,62.22,2.56,13.73,2.12,STAY,SELL,BUY,0.02,STAY,False,False,STAY,-0.1,1.47,0.0,,0,['ENGULFING'],100
63MOONS,63 moons technologies limited,1758,291138.0,0.36,826.15,INCREASING,INCREASING,88.58,1.43,34.75,-1.68,SELL,BUY,BUY,0.99,STRONG BUY,False,True,STAY,0.3,3.92,0.0,"['HIGHWAVE', 'SPINNINGTOP']",200,,0
A2ZINFRA,A2Z Infra Engineering Limited,237,610947.0,1.96,18.75,NO TREND,INCREASING,62.56,3.07,1.07,-4.3,STAY,STRONG BUY,BUY,0.1,STAY,False,False,STAY,0.66,-3.85,2.15,,0,,0
AAATECH,AAA Technologies Limited,105,3963.0,0.17,118.86,NO TREND,INCREASING,59.54,2.34,5.05,3.38,STAY,SELL,BUY,0.23,STAY,False,False,STAY,-0.2,-0.54,0.01,['HARAMI'],100,,0
AAKASH,Aakash Exploration Services Limited,92,20795.0,0.08,11.0,NO TREND,INCREASING,52.72,1.27,0.55,5.04,STAY,BUY,BUY,0.01,STAY,False,False,STAY,0.01,0.0,0.0,,-100,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,11603.0,0.43,62.0,NO TREND,INCREASING,57.87,-1.3,2.83,4.3,STAY,BUY,BUY,0.05,STAY,False,False,STAY,-0.04,0.0,-2.05,"['DOJI', 'DOJISTAR']",200,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'HAMMER']",400
