STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,35797.0,0.79,242.6,DECREASING,INCREASING,28.57,-1.82,8.8,-0.97,BUY,SELL,SELL,0.52,STRONG SELL,False,False,STAY,0.22,-2.0,0.0,"['DOJI', 'TRISTAR']",200,,0
21STCENMGM,21st Century Management Services Limited,43,4752.0,0.41,116.62,INCREASING,INCREASING,56.99,-4.79,2.35,-0.12,STAY,BUY,BUY,0.06,STAY,False,False,SELL,-0.01,0.0,-2.9,,-100,"['DOJI', 'DOJISTAR']",200
360ONE,360 ONE WAM LIMITED,24236,176617.0,0.6,1051.6,NO TREND,INCREASING,51.27,0.75,46.23,1.24,STAY,SELL,SELL,0.0,STAY,False,False,STAY,-0.2,0.87,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS', 'HIGHWAVE', 'SPINNINGTOP']",600,['SPINNINGTOP'],100
3IINFOLTD,3i Infotech Limited,667,206693.0,0.46,28.12,DECREASING,DECREASING,42.83,-2.18,0.99,2.97,STAY,BUY,BUY,0.39,STAY,False,False,STAY,0.25,-0.95,-4.62,,0,,0
3MINDIA,3M India Limited,35139,3933.0,1.0,35111.05,NO TREND,INCREASING,53.98,-9.15,954.5,-0.06,STAY,BUY,BUY,0.16,BUY,False,False,STAY,-0.0,-2.37,0.0,,0,,-100
3PLAND,3P Land Holdings Limited,48,13573.0,1.06,43.5,INCREASING,INCREASING,72.39,-6.72,2.09,0.34,SELL,BUY,BUY,0.13,BUY,False,False,SELL,0.47,-4.4,0.0,,0,,-100
5PAISA,5Paisa Capital Limited,1574,23896.0,0.64,498.55,DECREASING,INCREASING,42.9,-0.66,19.67,3.08,STAY,SELL,SELL,0.48,STAY,False,False,STAY,0.78,-0.09,0.0,,-100,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI']",100
63MOONS,63 moons technologies limited,1758,49411.0,0.16,588.2,INCREASING,INCREASING,66.55,3.56,33.26,1.22,STAY,BUY,BUY,0.9,STRONG BUY,False,False,STAY,0.12,0.0,0.0,,0,['DOJI'],100
A2ZINFRA,A2Z Infra Engineering Limited,237,334615.0,0.46,18.82,NO TREND,INCREASING,55.57,-5.55,1.12,-1.13,STAY,BUY,BUY,0.02,STAY,False,False,SELL,0.62,-4.18,0.0,,0,,0
AAATECH,AAA Technologies Limited,105,200019.0,3.48,114.87,DECREASING,INCREASING,39.0,-9.84,6.09,-9.35,BUY,BUY,STRONG SELL,0.1,STAY,False,False,STAY,-0.24,-8.08,0.0,,0,,0
AAKASH,Aakash Exploration Services Limited,92,83714.0,0.41,11.16,DECREASING,INCREASING,46.27,-2.12,0.67,0.72,STAY,BUY,STRONG SELL,0.12,STAY,False,False,STAY,0.2,-2.53,0.0,,-100,,0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,7875.0,0.6,63.53,DECREASING,INCREASING,46.03,-1.29,3.25,2.95,STAY,SELL,BUY,0.09,STAY,False,False,STAY,0.47,1.63,0.0,,0,,0
AARON,Aaron Industries Limited,273,10632.0,1.21,282.95,INCREASING,INCREASING,61.82,8.43,10.62,-2.7,STAY,BUY,BUY,0.57,STAY,False,False,STAY,0.24,4.41,0.0,,0,['ENGULFING'],100
AARTECH,Aartech Solonics Limited,163,20083.0,0.63,61.99,DECREASING,INCREASING,36.99,2.74,3.15,2.47,BUY,BUY,SELL,0.02,STAY,False,False,STAY,0.62,1.11,0.0,,-200,['HARAMI'],100
AARTIDRUGS,Aarti Drugs Limited,3992,39504.0,0.53,485.05,DECREASING,INCREASING,39.81,-4.02,11.36,1.53,BUY,BUY,SELL,0.71,STRONG SELL,False,False,STAY,0.3,-0.2,0.0,,-100,"['DOJI', 'DOJISTAR', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",400
AARTIIND,Aarti Industries Limited,24126,20119549.0,3.11,439.15,DECREASING,INCREASING,26.07,-5.83,20.06,-10.48,BUY,SELL,SELL,0.81,STRONG SELL,False,False,STAY,-0.6,-3.47,-21.55,,0,,0
